stimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,trial_text.started,trial_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Rita,0,0,0,1,11.884843426989391,None,14.022479573031887,None,15.158514122013003,None,17.012325069052167,None,18.4655375930015,None,right,1.7578473699977621,18.4655375930015,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
Kasta,0,1,1,2,,,,,,,,,20.26953490904998,None,left,0.6097761780256405,20.26953490904998,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
Klippa,0,2,2,3,,,,,,,,,20.920870684087276,None,h,0.2784316900651902,20.920870684087276,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
Skriva,0,3,3,0,,,,,,,,,21.238287211046554,None,right,0.4170815690886229,21.238287211046554,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
Sopa (övre hand),0,4,4,7,,,,,,,,,21.68925046606455,None,v,0.15012875897809863,21.68925046606455,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
Skära (med kniv),0,5,5,5,,,,,,,,,21.8729824119946,None,left,0.5823662109905854,21.8729824119946,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
Öppna en låda (tar av locket),0,6,6,9,,,,,,,,,22.490984394098632,None,h,0.6763457879424095,22.490984394098632,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
Borsta tänderna,0,7,7,4,,,,,,,,,23.209092451026663,None,space,0.5662002259632573,23.209092451026663,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
Använda en sked,0,8,8,6,,,,,,,,,23.810467757983133,None,space,0.6448796449694782,23.810467757983133,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
Tända en tändsticka (håller i tändstickan),0,9,9,8,,,,,,,,,24.495129831018858,None,right,0.9361009829444811,24.495129831018858,None,,,1,001,2020_Mar_23_1816,handedness,2020.1.2,59.8928177165135,
,,,,,,,,,,,,,,,,,,,25.464029849041253,None,,,,,,,
